county,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""13213""","""Murray""","""Dalton, GA""",26.00,39724.00,14385.00,220475.77,55,66,43,22,28,17,33,38,26,10.39,1.65,2.05,2,2,25300,24452,25452,0,0,0,15957,14784,16290,12260,11209,12571,3690,3567,3712,8,8,8,10,10,10,1.4,1.1,0.25,0.07,3371,60,3510,86,237,11,4348,908,1018,598,73,27
"""13215""","""Muscogee""","""Columbus, GA-AL""",125.00,195739.00,72759.00,138545.84,55,66,42,28,35,21,27,31,21,7.34,10.71,1.71,2,2,17841,17420,18371,1,1,1,12829,11849,13411,10202,9282,10708,2602,2541,2679,25,26,24,31,33,30,2.3,4.8,1.94,0.53,11138,66,12224,81,30,42,2259,1097,1147,932,56,44
"""13217""","""Newton""","""Atlanta-Sandy Springs-Alpharetta, GA""",34.00,108079.00,37018.00,175232.22,45,55,48,21,26,23,24,29,25,9.67,4.92,2.11,2,2,23822,23265,23328,1,1,1,16132,15693,15834,12646,12288,12420,3474,3393,3402,12,12,12,15,15,15,1.2,2.6,0.62,0.21,7396,84,6608,84,90,16,2949,1202,1236,981,70,30
"""13219""","""Oconee""","""Athens-Clarke County, GA""",14.00,38132.00,13423.00,117974.10,76,92,58,42,53,32,34,39,26,10.75,2.13,2.08,2,2,23615,23043,24538,1,1,1,15871,14764,16595,12416,11392,13004,3444,3362,3579,11,11,12,14,14,15,0.8,2.6,0.26,0.11,5115,87,6159,84,112,13,3227,1659,1773,1040,84,16
"""13221""","""Oglethorpe""","""Athens-Clarke County, GA""",9.00,14931.00,5651.00,280999.48,61,73,47,27,34,20,34,40,27,10.83,0.46,2.08,2,2,25543,24842,26684,0,0,0,16147,14970,16956,12415,11340,13057,3725,3624,3891,7,7,8,9,8,9,1.0,0.8,0.09,0.02,2768,64,2361,87,260,6,4447,1057,1173,677,80,20
"""13223""","""Paulding""","""Atlanta-Sandy Springs-Alpharetta, GA""",46.00,159825.00,53299.00,199890.27,47,58,51,23,29,25,24,30,26,10.62,4.74,2.17,2,2,24856,24391,24403,1,1,1,16627,16216,16338,13002,12659,12779,3625,3557,3559,0,0,0,0,0,0,0.8,3.3,0.61,0.27,8716,90,7853,83,119,18,3146,1307,1330,1172,77,23
"""13225""","""Peach""","""Warner Robins, GA""",12.00,27145.00,10136.00,96181.85,47,57,44,21,26,20,26,30,25,8.81,2.23,2.01,2,2,22660,21968,22781,0,0,0,15345,14220,15464,12033,11007,12134,3305,3205,3322,8,8,7,9,9,9,2.2,1.0,1.01,0.11,3569,65,3367,86,84,15,2300,1032,1198,720,70,30
"""13227""","""Pickens""","""Atlanta-Sandy Springs-Alpharetta, GA""",17.00,31387.00,11868.00,148517.77,46,56,49,21,27,23,24,29,26,9.99,1.26,2.15,2,2,25131,24597,24590,0,0,0,16507,16032,16187,12833,12435,12592,3665,3587,3586,10,10,9,12,12,11,1.2,2.0,0.22,0.08,3756,75,3901,85,151,12,3496,1222,1371,639,79,21
"""13229""","""Pierce""","""Waycross, GA""",12.00,19250.00,7048.00,217887.41,67,81,44,30,37,18,37,44,26,9.22,0.69,1.93,2,2,22278,21363,24191,0,0,0,14236,13641,16167,10980,10519,12633,3250,3116,3528,6,5,6,7,7,7,2.6,0.6,0.24,0.03,1914,59,1600,87,98,9,2984,951,1025,538,80,20
"""13231""","""Pike""","""Atlanta-Sandy Springs-Alpharetta, GA""",8.00,18327.00,6143.00,138294.90,48,59,51,22,27,24,26,31,28,11.68,0.57,2.28,2,2,27425,26878,26867,0,0,0,17627,17164,17305,13619,13236,13379,3999,3920,3918,8,8,8,11,10,10,0.9,1.5,0.19,0.04,3093,83,2801,86,161,9,3063,1239,1336,747,86,14
"""13233""","""Polk""","""Cedartown, GA""",32.00,41908.00,15038.00,198612.77,56,69,42,24,30,17,32,39,25,8.86,2.09,1.97,2,2,22683,21801,23330,0,0,0,14474,13922,15662,11157,10734,12252,3309,3180,3402,8,8,8,10,10,10,1.2,1.9,0.42,0.08,3664,76,3763,85,104,15,2956,891,955,605,68,32
"""13235""","""Pulaski""","""""",9.00,11216.00,3687.00,159527.02,55,67,42,23,29,16,32,39,26,8.65,1.01,1.98,2,2,23340,22481,24352,0,0,0,14634,14024,16061,11223,10739,12504,3405,3280,3551,6,6,6,7,7,7,0.9,0.7,0.19,0.02,1917,70,1738,87,197,7,4406,862,819,661,70,30
"""13237""","""Putnam""","""""",17.00,21691.00,8937.00,220596.02,56,67,47,26,32,21,30,35,26,9.86,0.83,2.02,2,2,24215,23654,25379,0,0,0,15630,14497,16357,12092,11039,12648,3531,3451,3701,7,7,8,9,9,10,1.6,1.1,0.29,0.04,2428,57,2264,86,239,8,5044,1110,1244,569,83,17
"""13239""","""Quitman""","""Eufaula, AL-GA""",2.00,2289.00,842.00,96791.79,75,91,43,30,37,15,45,54,27,10.83,0.09,1.93,2,2,25107,24205,27757,0,0,0,14618,13972,17240,10950,10437,13186,3663,3531,4048,5,5,6,6,6,8,1.7,0.3,0.38,0.01,1331,46,1161,88,397,4,4864,796,847,682,86,14
"""13241""","""Rabun""","""""",13.00,16645.00,6662.00,236889.32,67,82,48,33,41,22,34,41,26,9.74,0.61,1.95,2,2,23382,22720,24946,0,0,0,14511,13924,16331,11093,10602,12686,3411,3314,3638,7,7,8,9,9,10,0.9,1.5,0.20,0.03,2299,75,2244,86,164,14,3483,1152,1288,700,83,17
"""13243""","""Randolph""","""""",7.00,6973.00,2553.00,274070.64,71,86,40,26,32,13,45,53,27,9.99,0.29,1.89,2,2,24304,23040,26866,0,0,0,14290,13566,16790,10739,10200,12867,3545,3361,3918,5,5,5,6,6,6,0.8,0.3,0.88,0.01,1289,68,1140,88,296,4,4024,682,829,399,69,31
"""13245""","""Richmond""","""Augusta-Richmond County, GA-SC""",140.00,201852.00,71400.00,207572.83,49,59,42,23,29,20,26,30,22,7.69,9.03,1.82,2,2,19234,18776,19325,1,1,1,13689,12659,13925,10879,9915,11102,2805,2739,2818,5,5,5,6,6,6,4.1,3.9,2.11,0.34,9872,63,12605,82,33,43,2094,1025,1023,908,62,38
"""13247""","""Rockdale""","""Atlanta-Sandy Springs-Alpharetta, GA""",46.00,89717.00,31076.00,83083.69,44,54,48,22,27,24,22,27,24,9.06,6.37,2.03,2,2,21754,21285,21318,1,1,1,15289,14867,15004,12116,11763,11895,3172,3104,3109,0,0,0,0,0,0,1.7,3.9,1.49,0.37,10064,78,11429,82,61,28,2648,1241,1306,895,69,31
"""13249""","""Schley""","""Americus, GA""",3.00,5221.00,1864.00,106821.32,71,87,46,32,40,19,40,48,27,11.15,0.27,2.01,2,2,25352,24424,27415,0,0,0,15088,14508,17071,11385,10941,13067,3698,3563,3998,5,5,6,6,6,7,1.3,0.3,0.25,0.02,1733,60,1444,88,292,4,4228,1006,1149,653,76,24
"""13251""","""Screven""","""""",14.00,13989.00,5098.00,413293.09,66,80,44,29,36,18,37,44,26,10.11,0.49,1.97,2,2,24375,23497,25579,0,0,0,14749,14132,16433,11187,10699,12697,3556,3428,3730,6,6,6,7,7,8,1.4,0.8,0.18,0.01,1462,57,1352,87,234,6,4164,955,1102,489,80,20
"""13253""","""Seminole""","""""",9.00,8321.00,3363.00,152022.74,71,86,42,30,37,16,41,49,26,9.27,0.54,1.84,2,2,22105,21107,24816,0,0,0,13651,12997,16140,10421,9913,12515,3225,3079,3619,5,5,5,6,6,7,1.4,0.4,0.23,0.02,1299,63,1240,87,212,6,4796,832,898,700,74,26
"""13255""","""Spalding""","""Atlanta-Sandy Springs-Alpharetta, GA""",35.00,65306.00,24336.00,125435.47,41,50,44,18,23,20,23,27,24,8.68,3.72,2.03,2,2,22366,21821,21866,1,1,1,15432,14969,15125,12160,11775,11925,3262,3182,3189,11,11,10,14,14,13,1.6,2.7,0.56,0.19,5757,78,6472,84,79,19,2586,1029,1012,845,67,33
"""13257""","""Stephens""","""Toccoa, GA""",18.00,25750.00,9543.00,114655.95,57,69,44,26,32,19,31,36,25,8.70,1.84,1.94,2,2,21864,21104,22651,0,0,0,14806,13667,15449,11609,10580,12138,3188,3079,3303,8,8,8,10,10,10,2.2,1.5,0.32,0.08,3171,65,3291,86,74,19,2544,1018,1108,636,76,24
"""13259""","""Stewart""","""Columbus, GA-AL""",5.00,6293.00,1816.00,293598.56,55,65,43,22,27,16,33,38,26,9.29,0.08,2.02,2,2,24742,24024,25676,0,0,0,15717,14445,16544,12103,10935,12794,3608,3505,3744,6,6,6,7,7,8,1.3,0.6,0.54,0.01,1352,63,1313,87,306,4,4175,853,1014,417,79,21
"""13261""","""Sumter""","""Americus, GA""",26.00,30064.00,11510.00,309040.95,62,76,41,28,35,17,34,41,24,8.14,2.98,1.78,2,2,20359,19449,22339,0,0,0,13099,12506,15015,10123,9662,11751,2970,2837,3258,6,6,6,8,8,8,1.4,1.2,0.50,0.04,2590,63,2776,86,148,5,4627,882,942,704,62,38
"""13263""","""Talbot""","""Columbus, GA-AL""",6.00,6321.00,2809.00,250481.14,60,72,47,26,33,20,34,39,27,10.16,0.13,2.07,2,2,26052,25366,26931,0,0,0,16180,14952,16938,12374,11245,13003,3799,3700,3927,7,7,7,8,8,9,1.2,0.8,0.24,0.01,1908,63,1593,87,319,4,4307,1043,1175,485,83,17
"""13265""","""Taliaferro""","""""",3.00,1611.00,593.00,124548.59,69,84,44,29,37,17,40,47,27,10.24,0.05,1.97,2,2,25105,24169,26359,0,0,0,14850,14193,16698,11182,10661,12847,3662,3526,3844,6,6,6,8,7,8,1.7,0.7,0.15,0.00,1492,55,1486,87,270,4,4172,916,1073,546,82,18
"""13267""","""Tattnall""","""""",16.00,25382.00,8241.00,307726.59,59,72,42,26,33,17,33,39,25,7.95,0.72,1.83,2,2,20486,19726,22766,0,0,0,13402,12814,15450,10408,9931,12125,2988,2878,3320,5,5,6,7,7,7,2.4,0.7,0.30,0.03,1725,58,1537,87,125,9,3247,891,1070,518,73,27
"""13269""","""Taylor""","""""",7.00,8116.00,3473.00,241078.87,69,84,41,29,36,16,40,48,26,9.24,0.20,1.82,2,2,22340,21549,25161,0,0,0,13607,12999,16178,10342,9850,12502,3259,3144,3669,6,5,7,7,7,8,2.2,0.8,0.28,0.01,1775,54,1548,87,234,4,3969,816,879,617,77,23
"""13271""","""Telfair""","""""",10.00,16035.00,4668.00,279876.34,65,79,37,22,28,11,43,51,26,9.50,1.18,1.88,2,2,22896,21717,24957,0,0,0,14027,13333,16286,10681,10159,12641,3340,3168,3640,5,5,5,7,6,7,1.0,0.4,0.58,0.02,1550,63,1517,87,227,5,5080,598,537,547,78,22
"""13273""","""Terrell""","""Albany, GA""",10.00,8737.00,3399.00,214872.55,53,65,40,22,27,15,32,38,25,8.71,1.19,1.91,2,2,22848,21960,24127,0,0,0,14167,13572,15648,10829,10363,12125,3333,3204,3518,5,5,5,6,6,6,1.0,0.5,0.51,0.02,1568,73,1420,87,207,4,4085,810,837,645,63,37
"""13275""","""Thomas""","""Thomasville, GA""",36.00,44630.00,17595.00,348558.14,62,76,46,30,37,21,32,39,25,9.09,2.74,1.92,2,2,22197,21356,23682,0,0,0,14154,13602,15727,10910,10480,12267,3238,3115,3454,6,6,7,8,8,8,1.2,1.2,0.42,0.05,2950,68,4501,86,142,9,3676,1092,1186,757,67,33
"""13277""","""Tift""","""Tifton, GA""",31.00,40541.00,15144.00,166968.78,55,67,42,25,32,18,30,36,24,8.19,3.64,1.85,2,2,20202,19412,21326,0,0,0,13473,12971,14791,10519,10132,11673,2947,2832,3110,7,7,7,9,9,9,2.3,2.1,0.48,0.09,3573,61,4947,85,63,16,2794,959,1018,678,64,36
"""13279""","""Toombs""","""Vidalia, GA""",24.00,26972.00,10030.00,232965.32,59,71,40,25,31,16,34,41,24,7.81,1.78,1.87,2,2,21410,20460,22745,0,0,0,13736,13138,15330,10607,10147,12007,3123,2985,3317,6,6,6,7,7,7,1.7,1.0,0.29,0.04,2158,61,2865,86,129,8,4367,834,918,551,67,33
"""13281""","""Towns""","""""",8.00,11617.00,4898.00,106505.41,59,71,47,28,35,22,31,36,26,9.30,0.64,1.95,2,2,22250,21780,24247,0,0,0,14919,13799,16192,11667,10615,12648,3245,3177,3536,7,7,8,9,9,10,1.1,1.7,0.37,0.05,2440,79,2276,85,125,14,2520,1127,1246,687,87,13
"""13283""","""Treutlen""","""Dublin, GA""",7.00,6795.00,2490.00,127636.99,60,72,40,23,28,14,37,44,26,9.26,0.43,1.92,2,2,23603,22610,24969,0,0,0,14355,13697,16117,10907,10393,12470,3443,3298,3641,6,5,6,7,7,7,2.0,0.6,0.52,0.02,1411,59,1157,87,185,6,3649,742,831,564,74,26
"""13285""","""Troup""","""LaGrange, GA-AL""",41.00,69919.00,24928.00,264964.38,60,74,45,28,35,20,32,38,25,8.83,3.33,1.92,2,2,22015,21146,23027,0,0,0,14126,13589,15450,10906,10496,12084,3212,3085,3358,8,8,7,9,9,9,1.1,1.6,0.39,0.09,4024,73,5122,85,107,10,3982,1046,1140,842,63,37
"""13287""","""Turner""","""""",9.00,7943.00,3169.00,182665.49,63,77,41,26,32,15,38,45,26,8.03,0.51,1.89,2,2,21652,20716,24131,0,0,0,13890,13280,16106,10727,10253,12582,3159,3022,3519,5,5,5,6,6,6,1.2,0.3,0.37,0.02,1554,69,1322,88,114,6,3416,795,979,298,75,25
"""13289""","""Twiggs""","""Macon-Bibb County, GA""",8.00,8229.00,3044.00,229925.79,58,71,44,23,29,17,35,42,27,10.46,0.19,2.06,2,2,25361,24642,26427,0,0,0,15395,14775,16984,11688,11173,13123,3700,3595,3854,7,7,7,9,8,9,1.0,0.8,0.23,0.01,2006,67,2082,87,270,8,4077,868,1033,176,85,15
"""13291""","""Union""","""""",14.00,23288.00,9743.00,206167.62,56,67,46,25,31,20,31,35,26,9.58,0.75,2.01,2,2,23061,22529,24569,0,0,0,15367,14202,16366,11997,10908,12775,3363,3287,3583,8,7,8,9,9,10,0.8,1.4,0.16,0.05,2751,82,2549,86,143,14,3101,1035,1135,634,84,16
"""13293""","""Upson""","""Thomaston, GA""",21.00,26236.00,10154.00,207018.36,63,77,41,27,34,16,36,43,25,8.53,1.70,1.84,2,2,21256,20438,22920,0,0,0,13532,12955,15404,10423,9966,12054,3101,2982,3343,8,8,8,9,9,10,1.2,2.1,0.32,0.05,2926,73,2948,85,128,7,4150,845,874,622,73,27
"""13295""","""Walker""","""Chattanooga, TN-GA""",46.00,69039.00,25975.00,285689.28,49,59,42,21,26,18,28,33,25,8.96,3.05,1.97,2,2,21833,21266,22613,1,1,1,14955,13884,15480,11770,10781,12182,3184,3102,3298,1,1,1,1,1,1,1.2,2.6,0.25,0.09,5083,77,4834,84,83,12,3295,932,1014,606,76,24
"""13297""","""Walton""","""Atlanta-Sandy Springs-Alpharetta, GA""",38.00,91442.00,31670.00,209161.30,47,58,51,23,28,25,24,30,26,10.42,2.63,2.17,2,2,25022,24498,24523,1,1,1,16632,16190,16328,12970,12605,12740,3649,3573,3576,12,12,12,15,15,15,1.0,2.5,0.40,0.15,6260,83,6079,84,124,14,3081,1291,1349,960,76,24
"""13299""","""Ware""","""Waycross, GA""",33.00,35593.00,13823.00,575502.83,57,69,38,24,31,15,32,39,23,6.96,3.46,1.72,2,2,18550,17779,20160,0,0,0,12459,11905,14227,9745,9303,11279,2706,2594,2940,8,9,8,10,11,10,1.3,2.6,0.21,0.02,3358,64,3644,84,88,6,3947,785,903,543,69,31
"""13301""","""Warren""","""""",6.00,5297.00,2244.00,181988.78,64,78,42,28,35,16,37,44,25,8.80,0.59,1.84,2,2,21425,20588,23995,0,0,0,13582,12986,15841,10452,9977,12336,3126,3003,3499,5,5,6,6,6,7,2.1,0.4,0.23,0.01,1685,51,1621,87,153,4,3525,859,953,719,73,27
"""13303""","""Washington""","""""",16.00,20436.00,7503.00,434247.96,65,79,43,29,36,18,36,43,25,9.07,1.21,1.86,2,2,21809,20938,23826,0,0,0,13726,13119,15737,10538,10059,12256,3182,3054,3475,6,6,6,7,7,8,1.9,0.9,0.20,0.02,1945,60,2095,87,160,6,3831,920,1043,612,73,27
"""13305""","""Wayne""","""Jesup, GA""",23.00,29788.00,10400.00,410838.87,55,67,42,24,31,18,31,37,24,8.84,2.26,1.88,2,2,21919,21104,22731,0,0,0,13894,13322,15176,10689,10236,11854,3198,3079,3315,7,7,7,9,9,9,1.9,1.5,0.21,0.03,2018,62,1951,86,131,6,4174,927,1075,618,68,32
"""13307""","""Webster""","""""",2.00,2610.00,1140.00,133987.99,70,85,45,30,37,18,40,48,28,10.50,0.09,2.01,2,2,24904,24128,27652,0,0,0,15043,14429,17502,11405,10904,13464,3633,3520,4033,5,5,6,6,6,8,1.8,0.2,0.13,0.01,1518,52,1245,88,304,4,3931,919,1039,202,87,13
"""13309""","""Wheeler""","""""",6.00,7928.00,1862.00,189113.01,77,93,40,25,32,12,51,61,27,8.60,0.20,2.04,2,2,27201,25143,27761,0,0,0,15549,14712,17238,11574,11038,13184,3968,3668,4048,7,6,5,8,8,6,1.3,0.3,0.35,0.01,1289,61,1214,88,258,3,4663,640,747,406,73,27
"""13311""","""White""","""""",12.00,29489.00,11695.00,154075.50,57,68,48,26,33,22,30,35,26,10.08,1.27,2.06,2,2,24302,23697,25137,0,0,0,15899,14746,16478,12346,11280,12804,3544,3457,3666,8,8,9,10,10,11,1.2,1.4,0.23,0.08,3473,72,3370,86,146,14,3049,1150,1246,809,81,19
"""13313""","""Whitfield""","""Dalton, GA""",71.00,104237.00,35629.00,185879.96,54,65,42,23,29,18,31,36,24,9.05,4.86,1.96,2,2,21891,21071,22142,1,1,0,14937,13837,15248,11734,10753,12009,3192,3074,3229,11,11,10,13,13,12,2.3,2.4,0.61,0.19,5483,63,9057,84,68,19,2779,941,1040,691,69,31
"""13315""","""Wilcox""","""""",6.00,8824.00,2575.00,241798.51,67,81,43,26,33,15,41,49,27,10.74,0.13,2.00,2,2,25346,24402,27021,0,0,0,15042,14374,17093,11339,10809,13146,3697,3560,3941,6,5,6,7,7,7,1.0,0.4,0.39,0.01,1427,67,1163,87,302,4,4520,802,890,508,83,17
"""13317""","""Wilkes""","""""",11.00,9844.00,3979.00,300480.03,65,80,43,27,33,16,39,46,26,9.29,0.76,1.94,2,2,24505,23655,26576,0,0,0,14576,13978,16643,10995,10521,12762,3575,3451,3876,6,5,6,7,7,8,0.7,0.9,0.22,0.01,1765,74,1715,87,314,4,4862,843,974,588,74,26
"""13319""","""Wilkinson""","""""",9.00,9010.00,3185.00,287496.75,66,80,44,27,34,17,39,47,27,10.73,0.49,2.03,2,2,25849,24842,26805,0,0,0,15319,14649,16979,11542,11019,13063,3771,3624,3909,6,6,6,8,7,8,0.7,0.5,0.19,0.01,1710,66,1739,87,312,4,5198,871,973,521,82,18
"""13321""","""Worth""","""Albany, GA""",15.00,20494.00,8002.00,365255.21,57,70,43,25,31,18,33,39,26,8.85,0.59,1.97,2,2,24072,23208,25315,0,0,0,14720,14153,16183,11204,10763,12486,3512,3386,3692,5,5,5,7,6,7,1.6,0.6,0.30,0.02,1709,58,1322,87,205,8,3877,917,1065,587,70,30
